id,amount,fee,tax,method,bank,status,acquirer_data.bank_transaction_id,created_at,net_amount,settlement_date,description
BATCH_ICIC_0826_1,77341.96,0,0,batch_settlement,ICICI,settled,BATCH_388389,2026-08-25 19:08:40,77341.96,2026-08-30 06:14:57,BATCH-ICICI-2TXN
BATCH_HDFC_0828_1,79862.97,0,0,batch_settlement,HDFC,settled,BATCH_207473,2026-08-26 01:31:20,79862.97,2026-08-30 18:40:21,BATCH-HDFC-2TXN
BATCH_AXIS_0827_1,26314.02,0,0,batch_settlement,AXIS,settled,BATCH_191161,2026-08-26 03:21:28,26314.02,2026-08-30 03:21:28,BATCH-AXIS-2TXN
BATCH_CNRB_0828_1,150031.99,0,0,batch_settlement,CNRB,settled,BATCH_198246,2026-08-26 20:56:04,150031.99,2026-08-29 04:41:43,BATCH-CNRB-4TXN
BATCH_CNRB_0829_2,43216.97,0,0,batch_settlement,CNRB,settled,BATCH_127824,2026-08-26 18:40:33,43216.97,2026-08-31 18:40:33,BATCH-CNRB-2TXN
BATCH_BARB_0828_1,134193.97,0,0,batch_settlement,BARB_R,settled,BATCH_835392,2026-08-27 04:27:13,134193.97,2026-08-31 06:36:52,BATCH-BARB_R-4TXN
BATCH_UTBI_0828_1,48359.99,0,0,batch_settlement,UTBI,settled,BATCH_717889,2026-08-27 06:36:03,48359.99,2026-08-31 06:36:03,BATCH-UTBI-2TXN
BATCH_IBKL_0828_1,69831.03,0,0,batch_settlement,IBKL,settled,BATCH_895667,2026-08-27 06:36:26,69831.03,2026-08-30 06:36:26,BATCH-IBKL-2TXN
BATCH_XBANK_1,84426.09,0,0,batch_settlement,MULTI,settled,BATCH_182627,2026-08-25 20:23:55,84426.09,2026-08-31 11:50:17,BATCH-MULTI-2TXN
BATCH_XBANK_2,76215.07,0,0,batch_settlement,MULTI,settled,BATCH_479201,2026-08-25 18:34:57,76215.07,2026-08-31 18:38:46,BATCH-MULTI-4TXN
BATCH_XBANK_3,74839.04,0,0,batch_settlement,MULTI,settled,BATCH_793384,2026-08-26 18:40:14,74839.04,2026-08-31 06:41:00,BATCH-MULTI-3TXN
BATCH_XBANK_4,90846.05,0,0,batch_settlement,MULTI,settled,BATCH_996865,2026-08-26 00:19:56,90846.05,2026-08-30 00:19:56,BATCH-MULTI-3TXN
BATCH_XBANK_5,107811.07,0,0,batch_settlement,MULTI,settled,BATCH_391476,2026-08-26 07:19:10,107811.07,2026-08-31 07:19:10,BATCH-MULTI-3TXN
BATCH_XBANK_6,188776.03,0,0,batch_settlement,MULTI,settled,BATCH_270555,2026-08-25 18:25:31,188776.03,2026-08-31 08:57:49,BATCH-MULTI-5TXN
