settlement_id,expected_payment_ids,match_type
BATCH_ICIC_0826_1,"pay_765bc0c607004d,pay_c2f9269cb36246",BATCH
BATCH_HDFC_0828_1,"pay_98e241f1b3dc43,pay_01fffacf15c845",BATCH
BATCH_AXIS_0827_1,"pay_d394ae7ad5f14d,pay_00833d61495248",BATCH
BATCH_CNRB_0828_1,"pay_TUh9cnQMAUSXXm,pay_TUhJUGTk5QVrmN,pay_dff3ffb20ada4f,pay_79f70a3d6f2749",BATCH
BATCH_CNRB_0829_2,"pay_TUhMLw1p876lrP,pay_TUV6A3li30L5E7",BATCH
BATCH_BARB_0828_1,"pay_TUf5sF70a5tJOx,pay_TUf6LHur3Ow4jU,pay_TUhLEAbf2MJr8n,pay_TUhIpr3lgbg6xG",BATCH
BATCH_UTBI_0828_1,"pay_TUhKBAYmViteY5,pay_TUhHyMYw8LYSPV",BATCH
BATCH_IBKL_0828_1,"pay_TUhKmGg4Aa2S5Y,pay_TUhINYJJInOKUJ",BATCH
BATCH_XBANK_1,"pay_98c80fe4050e4d,pay_706732f8a12041",BATCH
BATCH_XBANK_2,"pay_0492370a71d940,pay_TUV4H0d8vxdb3f,pay_f201f191f7d847,pay_0b7c035a39754d",BATCH
BATCH_XBANK_3,"pay_TUV5okU20sAjq0,pay_TUhNCTc6T2oxXB,pay_TUhA5IctQMk2jj",BATCH
BATCH_XBANK_4,"pay_TUV3TH4wW7XSUT,pay_3442aa98552043,pay_c15fd2356a894b",BATCH
BATCH_XBANK_5,"pay_TUhNhEIdNoGBwR,pay_TUhO4QR1aGHCFO,pay_92fee67c429c4e",BATCH
BATCH_XBANK_6,"pay_f399dd68966649,pay_TUV4tZrvmbh2Tv,pay_b1eef78316bf41,pay_b6d940d71c9247,pay_b1360ab0731649",BATCH
