id,amount,fee,tax,method,bank,status,acquirer_data.bank_transaction_id,created_at,net_amount,settlement_date,description
pay_07b6f3b314b842,10637,0.0,0.0,upi,,failed,,2026-08-25 08:59:25,10637.0,2026-08-26 08:59:25,UNKNOWN
pay_e45bed5994b44a,47929,0.0,0.0,card,HDFC,failed,,2026-08-25 15:31:25,47929.0,2026-08-26 15:31:25,HDFC
pay_b6d940d71c9247,57561,1259.0,227.0,wallet,SBI,captured,96464434,2026-08-25 18:25:31,56075.0,2026-08-27 18:25:31,SBI-96464434
pay_0492370a71d940,39433,628.0,113.0,upi,,captured,50236142,2026-08-25 18:34:57,38692.0,2026-08-26 18:34:57,UNKNOWN-50236142
pay_e26bb08e36ba46,13896,0.0,0.0,netbanking,IDFC,failed,,2026-08-25 19:06:43,13896.0,2026-08-27 19:06:43,IDFC
pay_765bc0c607004d,48226,1143.0,206.0,paylater,ICICI,captured,,2026-08-25 19:08:40,46877.0,2026-08-26 19:08:40,ICICI
pay_29683fc3af644e,42237,0.0,0.0,paylater,ICICI,failed,,2026-08-25 19:32:40,42237.0,2026-08-26 19:32:40,ICICI
pay_98c80fe4050e4d,49198,894.0,161.0,netbanking,IDFC,captured,26919563,2026-08-25 20:23:55,48143.0,2026-08-27 20:23:55,IDFC-26919563
pay_c15fd2356a894b,25908,533.0,96.0,upi,,captured,71407792,2026-08-26 00:19:56,25279.0,2026-08-27 00:19:56,UNKNOWN-71407792
pay_e8950e3e81a14b,25669,0.0,0.0,card,SBI,failed,,2026-08-26 00:47:37,25669.0,2026-08-28 00:47:37,SBI
pay_98e241f1b3dc43,56914,981.0,177.0,netbanking,HDFC,captured,86706012,2026-08-26 01:31:20,55756.0,2026-08-27 01:31:20,HDFC-86706012
pay_e3166b64bfa24b,27549,0.0,0.0,card,AXIS,authorized,,2026-08-26 01:44:04,27549.0,2026-08-28 01:44:04,AXIS
pay_f1deacdddae045,27651,0.0,0.0,emi,BOB,authorized,,2026-08-26 02:23:12,27651.0,2026-08-27 02:23:12,BOB
pay_00833d61495248,14102,281.0,51.0,emi,AXIS,captured,61715510,2026-08-26 03:21:28,13770.0,2026-08-28 03:21:28,AXIS-61715510
pay_6a28c2686a384c,32546,0.0,0.0,upi,,failed,,2026-08-26 04:01:29,32546.0,2026-08-28 04:01:29,UNKNOWN
pay_f201f191f7d847,11523,181.0,33.0,wallet,YESB,captured,68157615,2026-08-26 04:38:09,11309.0,2026-08-28 04:38:09,YESB-68157615
pay_ca0b90801cdd42,28663,0.0,0.0,wallet,YESB,authorized,,2026-08-26 04:52:54,28663.0,2026-08-27 04:52:54,YESB
